Ticker,Name,Last Price,1d Chg %,Total Return (5D),Total Return (1M),SMA % (50D),SMA % (200D),SMA (50D),SMA (200D)
IXC,iShares Global Energy ETF,53.3800,0.0118,-0.0098,-0.0406,-0.0032,0.1889,53.5524,44.8974
MXI,iShares Global Materials ETF,110.7765,-0.0234,-0.0229,0.1341,0.0148,0.1400,109.1595,97.1753
EXI,iShares Global Industrials ETF,192.0800,-0.0212,-0.0183,0.0755,0.0067,0.0794,190.7930,177.9431
RXI,iShares Global Consumer ETF,200.7600,-0.0136,0.0099,0.0938,0.0232,-0.0008,196.2030,200.9161
KXI,iShares Global Staples ETF,66.8400,-0.0139,-0.0074,0.0123,-0.0350,0.0071,69.2618,66.3669
IXJ,iShares Global Healthcare ETF,93.4900,-0.0151,-0.0203,0.0225,-0.0298,0.0038,96.3606,93.1361
IXG,iShares Global Fin ETF,121.5300,-0.0105,-0.0006,0.0916,0.0349,0.0428,117.4294,116.5367
IXN,iShares Global Tech ETF,116.2100,-0.0022,0.0370,0.1497,0.0956,0.1260,106.0652,103.2053
JXI,iShares Global Utilities ETF,85.5400,-0.0158,-0.0326,0.0284,-0.0139,0.0662,86.7483,80.2297
REET,iShares Global REIT,27.0400,-0.0157,0.0071,0.0833,0.0269,0.0597,26.3324,25.5156
IXP,iShares Global Comm ETF,121.8000,-0.0109,0.0055,0.0549,0.0219,0.0148,119.1870,120.0190
